Room Rate,Month Record,Number of Star,Hotel Location,Number of Nights,Room-type Name
60000,7,3,Residence area,5,DELUXE
110000,7,3,Residence area,2,SUPERIOR
75000,7,3,Residence area,4,SUPERIOR
74999.66666666667,7,3,Residence area,3,SUPERIOR
75000,7,3,Residence area,2,SUPERIOR
75000,7,3,Residence area,2,SUPERIOR
74999.66666666667,7,3,Residence area,3,SUPERIOR
60000,7,3,Residence area,2,DELUXE
60000,7,3,Residence area,2,DELUXE
120000,7,3,Residence area,2,SUITE
153199,7,3,Residence area,1,SUITE
100000,7,3,Residence area,2,SUITE
77000,7,3,Residence area,9,SUPERIOR
77000,7,3,Residence area,9,SUPERIOR
80000,7,3,Residence area,1,DELUXE
80000,7,3,Residence area,1,DELUXE
100000,7,3,Residence area,1,SUPERIOR
130000,7,3,Residence area,1,SUITE
100000,7,3,Residence area,2,SUPERIOR
90000,7,3,Residence area,1,SUPERIOR
70000,7,3,Residence area,1,SUPERIOR
70000,7,3,Residence area,1,SUPERIOR
150000,8,3,Residence area,2,SUITE
67500,8,3,Residence area,2,SUPERIOR
79800,8,3,Residence area,1,DELUXE
120000,8,3,Residence area,1,SUITE
80666.5,8,3,Residence area,2,SUPERIOR
90000,8,3,Residence area,3,SUPERIOR
90000,8,3,Residence area,3,SUPERIOR
90000,8,3,Residence area,3,SUPERIOR
90000,8,3,Residence area,3,SUPERIOR
60000,8,3,Residence area,1,DELUXE
50000,8,3,Residence area,3,DELUXE
80000,8,3,Residence area,6,SUPERIOR
60000,8,3,Residence area,2,DELUXE
100000,8,3,Residence area,3,SUITE
60000,8,3,Residence area,1,DELUXE
60000,8,3,Residence area,2,SUPERIOR
55000,8,3,Residence area,1,DELUXE
60000,8,3,Residence area,2,DELUXE
58368,8,3,Residence area,5,DELUXE
60000,8,3,Residence area,3,SUPERIOR
108496,8,3,Residence area,3,SUITE
59999,8,3,Residence area,1,SUPERIOR
95000,8,3,Residence area,2,SUPERIOR
60000,8,3,Residence area,1,DELUXE
47500,8,3,Residence area,1,DELUXE
80000,8,3,Residence area,1,SUPERIOR
60000,8,3,Residence area,1,SUPERIOR
60000,9,3,Residence area,1,DELUXE
68156,9,3,Residence area,3,DELUXE
75000,9,3,Residence area,2,SUPERIOR
75000,9,3,Residence area,2,SUPERIOR
68156,9,3,Residence area,3,DELUXE
75000,9,3,Residence area,3,SUPERIOR
60000,9,3,Residence area,2,DELUXE
75000,9,3,Residence area,1,SUPERIOR
60000,9,3,Residence area,2,SUPERIOR
80000,9,3,Residence area,2,SUPERIOR
75000,9,3,Residence area,1,SUPERIOR
75000,9,3,Residence area,1,SUPERIOR
60000,9,3,Residence area,1,DELUXE
60000,9,3,Residence area,1,DELUXE
100000,9,3,Residence area,2,SUITE
75000,9,3,Residence area,2,SUPERIOR
60000,9,3,Residence area,1,SUPERIOR
60000,9,3,Residence area,2,SUPERIOR
75000,9,3,Residence area,1,SUPERIOR
100000,9,3,Residence area,3,SUITE
60000,9,3,Residence area,1,DELUXE
59999.5,9,3,Residence area,4,SUPERIOR
90000,9,3,Residence area,1,SUITE
55000,9,3,Residence area,2,DELUXE
75000,9,3,Residence area,1,SUPERIOR
75000,9,3,Residence area,1,SUPERIOR
70000,9,3,Residence area,1,SUPERIOR
43181.5,9,3,Residence area,2,DELUXE
70000,9,3,Residence area,1,SUPERIOR
70000,9,3,Residence area,1,SUPERIOR
60000,9,3,Residence area,1,SUPERIOR
60000,9,3,Residence area,1,DELUXE
46420,9,3,Residence area,1,SUPERIOR
46420,9,3,Residence area,1,SUPERIOR
75000,9,3,Residence area,2,SUPERIOR
75000,9,3,Residence area,1,SUPERIOR
60000,9,3,Residence area,2,DELUXE
70000,9,3,Residence area,2,SUPERIOR
60000,9,3,Residence area,1,DELUXE
80000,9,3,Residence area,4,SUPERIOR
80000,9,3,Residence area,4,SUPERIOR
75000,10,3,Residence area,2,SUPERIOR
60000,10,3,Residence area,1,DELUXE
65000,10,3,Residence area,1,SUPERIOR
60000,10,3,Residence area,1,DELUXE
50000,10,3,Residence area,2,DELUXE
82349,10,3,Residence area,1,SUPERIOR
130000,10,3,Residence area,1,SUITE
75000,10,3,Residence area,1,SUPERIOR
60000,10,3,Residence area,1,DELUXE
63333,10,3,Residence area,1,DELUXE
60000,10,3,Residence area,1,DELUXE
60000,10,3,Residence area,2,DELUXE
75000,10,3,Residence area,2,SUPERIOR
75000,10,3,Residence area,1,SUPERIOR
60000,10,3,Residence area,1,DELUXE
74999.66666666667,10,3,Residence area,3,SUPERIOR
75000,10,3,Residence area,1,SUPERIOR
75000,10,3,Residence area,2,SUPERIOR
75000,10,3,Residence area,1,SUPERIOR
60000,10,3,Residence area,1,DELUXE
75000,10,3,Residence area,2,SUPERIOR
75000,10,3,Residence area,2,SUPERIOR
55000,10,3,Residence area,8,DELUXE
70000,10,3,Residence area,6,SUPERIOR
75000,10,3,Residence area,1,SUPERIOR
75000,10,3,Residence area,1,SUPERIOR
60000,10,3,Residence area,2,SUPERIOR
60000,10,3,Residence area,2,DELUXE
60000,10,3,Residence area,2,DELUXE
70000,10,3,Residence area,2,SUPERIOR
60000,10,3,Residence area,2,SUPERIOR
88000,10,3,Residence area,2,SUPERIOR
76000,10,3,Residence area,2,DELUXE
75000,10,3,Residence area,2,SUPERIOR
65000,10,3,Residence area,2,SUPERIOR
60000,10,3,Residence area,3,SUPERIOR
60000,10,3,Residence area,2,DELUXE
70000,10,3,Residence area,1,DELUXE
65000,10,3,Residence area,6,SUPERIOR
65000,10,3,Residence area,6,SUPERIOR
100000,10,3,Residence area,4,SUITE
75000,10,3,Residence area,3,SUPERIOR
64600,10,3,Residence area,1,DELUXE
80000,10,3,Residence area,1,SUPERIOR
70000,10,3,Residence area,1,DELUXE
60000,10,3,Residence area,3,DELUXE
75000,10,3,Residence area,5,SUPERIOR
60000,10,3,Residence area,2,DELUXE
65000,10,3,Residence area,3,SUPERIOR
60000,10,3,Residence area,1,DELUXE
69090,10,3,Residence area,1,DELUXE
120000,11,3,Residence area,2,SUITE
75000,11,3,Residence area,2,SUPERIOR
50000,11,3,Residence area,1,DELUXE
67500,11,3,Residence area,4,SUPERIOR
64772.5,11,3,Residence area,2,DELUXE
65000,11,3,Residence area,2,SUPERIOR
65000,11,3,Residence area,2,SUPERIOR
60000,11,3,Residence area,2,SUPERIOR
71120,11,3,Residence area,2,DELUXE
100000,11,3,Residence area,1,SUITE
60000,11,3,Residence area,1,DELUXE
55000,11,3,Residence area,1,SUPERIOR
55000,11,3,Residence area,4,DELUXE
70000,11,3,Residence area,1,DELUXE
60000,11,3,Residence area,1,SUPERIOR
60000,11,3,Residence area,2,SUPERIOR
60000,11,3,Residence area,3,SUPERIOR
50000,11,3,Residence area,3,DELUXE
75000,11,3,Residence area,2,SUPERIOR
75000,11,3,Residence area,1,SUPERIOR
60000,11,3,Residence area,2,SUPERIOR
60000,11,3,Residence area,2,SUPERIOR
75000,11,3,Residence area,1,SUPERIOR
100000,11,3,Residence area,3,SUITE
60000,11,3,Residence area,3,SUPERIOR
60000,11,3,Residence area,3,DELUXE
75000,11,3,Residence area,3,SUPERIOR
59999,11,3,Residence area,1,SUPERIOR
75000,11,3,Residence area,1,SUPERIOR
75000,11,3,Residence area,2,SUPERIOR
75000,11,3,Residence area,2,SUPERIOR
75000,11,3,Residence area,2,SUPERIOR
90000,11,3,Residence area,2,SUITE
60000,11,3,Residence area,1,DELUXE
60000,11,3,Residence area,3,SUPERIOR
65000,11,3,Residence area,2,SUPERIOR
60000,11,3,Residence area,1,DELUXE
60000,11,3,Residence area,3,DELUXE
120000,11,3,Residence area,1,SUITE
75000,11,3,Residence area,2,SUPERIOR
60000,12,3,Residence area,2,SUPERIOR
70000,12,3,Residence area,3,DELUXE
85000,12,3,Residence area,4,SUPERIOR
85000,12,3,Residence area,4,SUPERIOR
70000,12,3,Residence area,4,DELUXE
85000,12,3,Residence area,4,SUPERIOR
85000,12,3,Residence area,4,SUPERIOR
85000,12,3,Residence area,4,SUPERIOR
70000,12,3,Residence area,4,DELUXE
85000,12,3,Residence area,4,SUPERIOR
75000,12,3,Residence area,4,SUPERIOR
85000,12,3,Residence area,4,SUPERIOR
130000,12,3,Residence area,1,SUITE
120000,12,3,Residence area,2,SUITE
120000,12,3,Residence area,1,SUITE
55000,12,3,Residence area,6,DELUXE
70000,12,3,Residence area,1,SUPERIOR
75000,12,3,Residence area,1,SUPERIOR
75000,12,3,Residence area,1,SUPERIOR
60000,12,3,Residence area,1,DELUXE
75000,12,3,Residence area,1,SUPERIOR
60000,12,3,Residence area,1,DELUXE
100000,12,3,Residence area,3,SUITE
60000,12,3,Residence area,3,DELUXE
60000,12,3,Residence area,3,DELUXE
70000,12,3,Residence area,1,SUPERIOR
75000,12,3,Residence area,2,SUPERIOR
55000,12,3,Residence area,2,SUPERIOR
55000,12,3,Residence area,4,DELUXE
103000,12,3,Residence area,2,SUPERIOR
55000,12,3,Residence area,1,DELUXE
55000,12,3,Residence area,1,DELUXE
70000,12,3,Residence area,1,SUPERIOR
75000,1,3,Residence area,4,SUPERIOR
55000,1,3,Residence area,1,DELUXE
80000,1,3,Residence area,3,SUPERIOR
75000,1,3,Residence area,1,SUPERIOR
70000,1,3,Residence area,2,SUPERIOR
80000,1,3,Residence area,2,SUPERIOR
103000,1,3,Residence area,1,SUPERIOR
60000,1,3,Residence area,1,DELUXE
75000,1,3,Residence area,1,SUPERIOR
60000,1,3,Residence area,2,DELUXE
60000,1,3,Residence area,1,DELUXE
59999,1,3,Residence area,1,SUPERIOR
60000,1,3,Residence area,1,DELUXE
75000,1,3,Residence area,1,SUPERIOR
75000,1,3,Residence area,7,SUPERIOR
120000,1,3,Residence area,2,SUITE
60000,1,3,Residence area,2,DELUXE
75000,1,3,Residence area,1,SUPERIOR
75000,1,3,Residence area,2,SUPERIOR
60000,1,3,Residence area,3,DELUXE
65000,2,3,Residence area,1,SUPERIOR
60000,2,3,Residence area,1,DELUXE
65000,2,3,Residence area,2,SUPERIOR
65000,2,3,Residence area,2,SUPERIOR
75000,2,3,Residence area,2,SUPERIOR
65000,2,3,Residence area,1,SUPERIOR
65000,2,3,Residence area,1,SUPERIOR
60000,2,3,Residence area,2,DELUXE
60000,2,3,Residence area,1,DELUXE
70000,2,3,Residence area,3,SUPERIOR
85000,2,3,Residence area,1,SUPERIOR
70000,2,3,Residence area,4,DELUXE
65000,2,3,Residence area,1,SUPERIOR
65000,2,3,Residence area,1,SUPERIOR
75000,2,3,Residence area,2,DELUXE
75000,2,3,Residence area,2,SUPERIOR
75000,2,3,Residence area,2,SUPERIOR
74999.66666666667,2,3,Residence area,3,SUPERIOR
120000,2,3,Residence area,1,SUITE
104500,2,3,Residence area,3,SUPERIOR
95000,2,3,Residence area,2,DELUXE
85000,2,3,Residence area,1,SUPERIOR
59999,2,3,Residence area,1,SUPERIOR
75000,2,3,Residence area,1,SUPERIOR
70000,2,3,Residence area,2,DELUXE
70000,2,3,Residence area,2,SUPERIOR
70000,2,3,Residence area,2,SUPERIOR
75000,2,3,Residence area,1,SUPERIOR
120000,2,3,Residence area,4,SUITE
65000,2,3,Residence area,2,SUPERIOR
65000,2,3,Residence area,2,SUPERIOR
60000,2,3,Residence area,1,DELUXE
60000,2,3,Residence area,1,DELUXE
59999,2,3,Residence area,1,SUPERIOR
75000,2,3,Residence area,1,SUPERIOR
65000,2,3,Residence area,1,SUPERIOR
60000,2,3,Residence area,2,DELUXE
75000,2,3,Residence area,2,SUPERIOR
70000,2,3,Residence area,1,SUPERIOR
80000,2,3,Residence area,2,SUITE
80000,2,3,Residence area,1,DELUXE
80000,2,3,Residence area,1,SUPERIOR
80000,2,3,Residence area,1,SUPERIOR
75000,2,3,Residence area,2,DELUXE
80000,2,3,Residence area,1,SUPERIOR
80000,2,3,Residence area,1,DELUXE
75000,2,3,Residence area,1,SUPERIOR
120000,2,3,Residence area,1,SUITE
70000,2,3,Residence area,1,SUPERIOR
60000,2,3,Residence area,1,DELUXE
75000,2,3,Residence area,1,DELUXE
75000,2,3,Residence area,1,SUPERIOR
65000,2,3,Residence area,1,SUPERIOR
65000,2,3,Residence area,2,SUPERIOR
65000,2,3,Residence area,3,SUPERIOR
65000,3,3,Residence area,1,SUPERIOR
88000,3,3,Residence area,2,DELUXE
75000,3,3,Residence area,2,SUPERIOR
75000,3,3,Residence area,1,SUPERIOR
60000,3,3,Residence area,1,DELUXE
75000,3,3,Residence area,1,SUPERIOR
130000,3,3,Residence area,2,SUITE
75000,3,3,Residence area,2,DELUXE
80000,3,3,Residence area,2,DELUXE
80000,3,3,Residence area,1,DELUXE
88000,3,3,Residence area,1,SUPERIOR
75000,3,3,Residence area,2,SUPERIOR
88000,3,3,Residence area,2,SUPERIOR
120000,3,3,Residence area,2,SUITE
75000,3,3,Residence area,1,DELUXE
75000,3,3,Residence area,4,DELUXE
80000,3,3,Residence area,6,SUPERIOR
80000,3,3,Residence area,6,SUPERIOR
100000,3,3,Residence area,2,SUPERIOR
95000,3,3,Residence area,1,DELUXE
90000,3,3,Residence area,5,SUPERIOR
85000,3,3,Residence area,1,SUPERIOR
90000,3,3,Residence area,6,SUPERIOR
85000,3,3,Residence area,6,SUPERIOR
85000,3,3,Residence area,1,SUPERIOR
75000,3,3,Residence area,1,DELUXE
95000,3,3,Residence area,1,DELUXE
120000,3,3,Residence area,1,SUITE
90000,3,3,Residence area,1,SUPERIOR
150000,3,3,Residence area,3,SUITE
80000,3,3,Residence area,1,SUPERIOR
88000,3,3,Residence area,1,SUPERIOR
88000,3,3,Residence area,1,SUPERIOR
44333,3,3,Residence area,1,DELUXE
65000,3,3,Residence area,1,DELUXE
100000,3,3,Residence area,1,SUPERIOR
100000,3,3,Residence area,1,SUPERIOR
100000,3,3,Residence area,3,SUPERIOR
150000,3,3,Residence area,2,SUITE
95000,3,3,Residence area,2,DELUXE
75000,3,3,Residence area,1,SUPERIOR
95000,3,3,Residence area,2,DELUXE
95000,3,3,Residence area,3,DELUXE
100000,3,3,Residence area,1,SUPERIOR
95000,3,3,Residence area,3,DELUXE
95000,3,3,Residence area,3,DELUXE
75000,3,3,Residence area,2,SUPERIOR
75000,3,3,Residence area,2,SUPERIOR
85000,3,3,Residence area,1,SUPERIOR
80000,3,3,Residence area,1,DELUXE
95000,3,3,Residence area,2,DELUXE
95000,3,3,Residence area,1,DELUXE
110000,3,3,Residence area,1,SUPERIOR
95000,3,3,Residence area,3,SUPERIOR
95000,3,3,Residence area,4,SUPERIOR
65000,3,3,Residence area,1,DELUXE
80000,3,3,Residence area,2,DELUXE
85000,3,3,Residence area,2,SUPERIOR
130000,3,3,Residence area,2,SUITE
80000,4,3,Residence area,1,DELUXE
110000,4,3,Residence area,1,SUPERIOR
95000,4,3,Residence area,2,DELUXE
95000,4,3,Residence area,2,DELUXE
95000,4,3,Residence area,2,DELUXE
95000,4,3,Residence area,2,DELUXE
95000,4,3,Residence area,2,DELUXE
80000,4,3,Residence area,1,DELUXE
75000,4,3,Residence area,3,DELUXE
100000,4,3,Residence area,2,SUPERIOR
100000,4,3,Residence area,2,SUPERIOR
110000,4,3,Residence area,8,SUPERIOR
130000,4,3,Residence area,1,SUITE
85000,4,3,Residence area,3,SUPERIOR
85000,4,3,Residence area,2,SUPERIOR
90000,4,3,Residence area,2,SUPERIOR
110000,4,3,Residence area,2,SUPERIOR
95000,4,3,Residence area,2,SUPERIOR
95000,4,3,Residence area,1,DELUXE
95000,4,3,Residence area,1,DELUXE
90000,4,3,Residence area,1,SUPERIOR
88000,4,3,Residence area,1,DELUXE
100000,4,3,Residence area,2,SUPERIOR
100000,4,3,Residence area,2,SUPERIOR
95000,4,3,Residence area,3,DELUXE
95000,4,3,Residence area,1,SUPERIOR
95000,4,3,Residence area,1,DELUXE
70000,4,3,Residence area,4,DELUXE
95000,4,3,Residence area,2,DELUXE
100000,4,3,Residence area,1,SUPERIOR
110000,4,3,Residence area,2,SUPERIOR
110000,4,3,Residence area,3,SUPERIOR
100000,4,3,Residence area,2,SUPERIOR
130000,4,3,Residence area,2,SUITE
95000,4,3,Residence area,2,SUPERIOR
95000,4,3,Residence area,2,SUPERIOR
80000,4,3,Residence area,2,DELUXE
110000,4,3,Residence area,1,SUPERIOR
110000,4,3,Residence area,2,SUPERIOR
0,4,3,Residence area,2,SUPERIOR
110000,4,3,Residence area,2,SUPERIOR
95000,4,3,Residence area,1,SUPERIOR
150000,4,3,Residence area,1,SUITE
110000,4,3,Residence area,1,SUPERIOR
150000,4,3,Residence area,3,SUITE
110000,4,3,Residence area,1,SUPERIOR
110000,5,3,Residence area,3,SUPERIOR
110000,5,3,Residence area,1,SUPERIOR
110000,5,3,Residence area,1,SUPERIOR
110000,5,3,Residence area,1,SUPERIOR
95000,5,3,Residence area,1,DELUXE
105000,5,3,Residence area,0,DELUXE
70400,5,3,Residence area,0,DELUXE
110000,5,3,Residence area,0,SUPERIOR
143000,5,3,Residence area,1,SUITE
95000,5,3,Residence area,0,DELUXE
95000,5,3,Residence area,1,DELUXE
110000,5,3,Residence area,0,SUPERIOR
150000,5,3,Residence area,1,SUITE
95000,5,3,Residence area,0,DELUXE
120000,5,3,Residence area,1,SUITE
117475.7281553398,5,3,Residence area,0,SUPERIOR
97159.09090909091,5,3,Residence area,0,DELUXE
110000,5,3,Residence area,1,SUPERIOR
95000,5,3,Residence area,0,DELUXE
110000,5,3,Residence area,0,SUPERIOR
110000,5,3,Residence area,0,SUPERIOR
80000,5,3,Residence area,3,SUPERIOR
130000,5,3,Residence area,1,SUITE
100000,5,3,Residence area,0,SUPERIOR
80000,5,3,Residence area,3,DELUXE
70000,6,3,Residence area,0,DELUXE
95000,6,3,Residence area,1,DELUXE
80000,6,3,Residence area,0,DELUXE
750000,6,3,Residence area,0,DELUXE
110000,6,3,Residence area,0,SUPERIOR
95000,6,3,Residence area,0,SUPERIOR
100000,6,3,Residence area,0,SUPERIOR
750000,6,3,Residence area,2,DELUXE
120000,6,3,Residence area,0,SUITE
75000,6,3,Residence area,2,SUPERIOR
100000,6,3,Residence area,0,SUPERIOR
130000,6,3,Residence area,0,SUITE
750000,6,3,Residence area,0,DELUXE
75000,6,3,Residence area,2,SUPERIOR
95000,6,3,Residence area,1,SUPERIOR
64600.0095,6,3,Residence area,0,DELUXE
95000,6,3,Residence area,0,SUPERIOR
75000,6,3,Residence area,1,SUPERIOR
44333.333333333336,6,3,Residence area,0,DELUXE
71625.68181818182,6,3,Residence area,0,DELUXE
100000,6,3,Residence area,1,SUPERIOR
95000,6,3,Residence area,0,DELUXE
150000,6,3,Residence area,0,SUITE
75000,6,3,Residence area,0,SUPERIOR
75000,6,3,Residence area,0,SUPERIOR
75000,6,3,Residence area,1,DELUXE
75000,6,3,Residence area,3,SUPERIOR
75000,6,3,Residence area,3,DELUXE
100000,6,3,Residence area,0,SUPERIOR
85000,6,3,Residence area,1,SUPERIOR
85000,6,3,Residence area,1,SUPERIOR
110000,6,3,Residence area,3,SUPERIOR
75000,6,3,Residence area,1,SUPERIOR
150000,6,3,Residence area,0,SUITE
80000,6,3,Residence area,0,DELUXE
100000,6,3,Residence area,2,SUPERIOR
100000,6,3,Residence area,2,SUPERIOR
100000,6,3,Residence area,1,SUPERIOR
150000,6,3,Residence area,0,SUITE
110000,6,3,Residence area,1,SUPERIOR
110000,6,3,Residence area,2,SUPERIOR
110000,6,3,Residence area,4,SUPERIOR
110000,6,3,Residence area,4,SUPERIOR
95000,7,3,Residence area,2,DELUXE
75000,7,3,Residence area,3,DELUXE
750000,7,3,Residence area,3,DELUXE
110000,7,3,Residence area,0,SUPERIOR
59999.99999999999,7,3,Residence area,1,SUPERIOR
95000,7,3,Residence area,0,DELUXE
150000,7,3,Residence area,0,SUITE
60000,7,3,Residence area,0,DELUXE
110000,7,3,Residence area,3,SUPERIOR
750000,7,3,Residence area,2,DELUXE
85000,7,3,Residence area,1,SUPERIOR
75000,7,3,Residence area,1,DELUXE
90000,7,3,Residence area,1,SUPERIOR
110000,7,3,Residence area,0,SUPERIOR
130000,7,3,Residence area,1,SUITE
110000,7,3,Residence area,1,SUPERIOR
110000,7,3,Residence area,0,SUPERIOR
85000,7,3,Residence area,2,SUPERIOR
85000,7,3,Residence area,2,SUPERIOR
110000,7,3,Residence area,0,SUPERIOR
80000,7,3,Residence area,1,DELUXE
150000,7,3,Residence area,0,SUITE
95000,8,3,Residence area,0,DELUXE
95000,8,3,Residence area,0,SUPERIOR
95000,8,3,Residence area,0,SUPERIOR
750000,8,3,Residence area,0,DELUXE
75000,8,3,Residence area,2,DELUXE
75000,8,3,Residence area,0,DELUXE
150000,8,3,Residence area,0,SUITE
110000,8,3,Residence area,0,SUPERIOR
110000,8,3,Residence area,0,SUPERIOR
110000,8,3,Residence area,0,SUPERIOR
90000,8,3,Residence area,1,DELUXE
95000,8,3,Residence area,0,DELUXE
100000,8,3,Residence area,2,SUPERIOR
100000,8,3,Residence area,0,SUPERIOR
130000,8,3,Residence area,0,SUITE
95000,8,3,Residence area,0,DELUXE
80000,8,3,Residence area,2,SUPERIOR
130000,8,3,Residence area,2,SUITE
100000,8,3,Residence area,1,SUPERIOR
100000,8,3,Residence area,2,SUPERIOR
90000,8,3,Residence area,0,DELUXE
95000,8,3,Residence area,0,DELUXE
90000,9,3,Residence area,2,DELUXE
110000,9,3,Residence area,1,SUPERIOR
100000,11,3,Residence area,1,CLASSIC STUDIO
100000,11,3,Residence area,1,CLASSIC STUDIO
100000,11,3,Residence area,1,SUPERIOR STUDIO
100000,11,3,Residence area,14,CLASSIC STUDIO
120000,11,3,Residence area,3,1 BEDROOM APARTMENT
120000,11,3,Residence area,9,2 BEDROOM APARTMENT
60000,11,3,Residence area,3,SUPERIOR STUDIO
60000,11,3,Residence area,3,SUPERIOR STUDIO
100000,11,3,Residence area,6,CLASSIC STUDIO
0,11,3,Residence area,6,SUPERIOR STUDIO
30000,11,3,Residence area,366,CLASSIC STUDIO
70000,12,3,Residence area,2,CLASSIC STUDIO
89999.5,12,3,Residence area,2,2 BEDROOM APARTMENT
39999,12,3,Residence area,1,SUPERIOR STUDIO
70000,12,3,Residence area,2,CLASSIC STUDIO
70000,12,3,Residence area,3,CLASSIC STUDIO
30000,12,3,Residence area,1,CLASSIC STUDIO
30000,12,3,Residence area,5,CLASSIC STUDIO
60000,12,3,Residence area,1,CLASSIC STUDIO
40000,12,3,Residence area,4,CLASSIC STUDIO
0,12,3,Residence area,1,CLASSIC STUDIO
50000,12,3,Residence area,1,CLASSIC STUDIO
42999.5,12,3,Residence area,5,CLASSIC STUDIO
50000,12,3,Residence area,3,CLASSIC STUDIO
54999,12,3,Residence area,1,SUPERIOR STUDIO
60000,12,3,Residence area,1,SUPERIOR STUDIO
80000,12,3,Residence area,1,SUPERIOR STUDIO
64999,12,3,Residence area,1,SUPERIOR STUDIO
64999,12,3,Residence area,1,SUPERIOR STUDIO
120000,12,3,Residence area,1,SUPERIOR STUDIO
120000,12,3,Residence area,1,SUPERIOR STUDIO
55000,12,3,Residence area,38,CLASSIC STUDIO
60000,12,3,Residence area,1,2 BEDROOM APARTMENT
75000,12,3,Residence area,1,SUPERIOR STUDIO
80000,12,3,Residence area,1,SUPERIOR STUDIO
60000,12,3,Residence area,1,2 BEDROOM APARTMENT
39999,12,3,Residence area,1,SUPERIOR STUDIO
120000,12,3,Residence area,2,SUPERIOR STUDIO
120000,12,3,Residence area,2,SUPERIOR STUDIO
52000,12,3,Residence area,2,2 BEDROOM APARTMENT
60000,12,3,Residence area,2,SUPERIOR STUDIO
60000,12,3,Residence area,2,SUPERIOR STUDIO
60000,12,3,Residence area,2,SUPERIOR STUDIO
60000,12,3,Residence area,2,CLASSIC STUDIO
60000,12,3,Residence area,2,SUPERIOR STUDIO
60000,12,3,Residence area,1,2 BEDROOM APARTMENT
60000,12,3,Residence area,2,1 BEDROOM APARTMENT
60000,12,3,Residence area,2,SUPERIOR STUDIO
60000,12,3,Residence area,2,1 BEDROOM APARTMENT
60000,12,3,Residence area,2,1 BEDROOM APARTMENT
60000,12,3,Residence area,2,1 BEDROOM APARTMENT
60000,12,3,Residence area,2,1 BEDROOM APARTMENT
52000,12,3,Residence area,2,2 BEDROOM APARTMENT
60000,12,3,Residence area,2,2 BEDROOM APARTMENT
60000,12,3,Residence area,2,1 BEDROOM APARTMENT
52000,12,3,Residence area,2,1 BEDROOM APARTMENT
60000,12,3,Residence area,2,2 BEDROOM APARTMENT
52000,12,3,Residence area,2,2 BEDROOM APARTMENT
